Product_Name,Sales,Profit,Quantity,Discount,Shipping_Cost,Profit_Margin,Profit_Rank,Sales_Rank,Quantity_Rank
"""While you Were Out"" Message Book, One Form per Page",25.228,10.387999999999998,8,0.13333333333333333,5.1,0.41176470588235287,2927.0,3714.0,3530.0
"#10 Gummed Flap White Envelopes, 100/Box",41.3,16.7678,11,0.1,6.09,0.4060000000000001,2801.0,3630.0,3364.0
#10 Self-Seal White Envelopes,108.68199999999999,52.123,10,0.05,13.43,0.4795918367346939,2284.0,3288.0,3427.5
"#10 White Business Envelopes,4 1/8 x 9 1/2",488.90399999999994,223.14079999999996,32,0.05714285714285715,54.03,0.4564102564102564,1362.0,2604.0,1994.5
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,115.28059999999999,37,0.08,36.95,0.4021341463414633,1796.0,2870.0,1817.0
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,64.86359999999999,21,0.07500000000000001,17.14,0.44218749999999996,2138.0,3164.0,2597.5
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,63.747,13,0.1,11.129999999999999,0.36160714285714285,2151.0,3083.0,3213.5
#6 3/4 Gummed Flap White Envelopes,71.28000000000002,24.947999999999993,9,0.2,7.44,0.3499999999999998,2661.0,3473.0,3480.5
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,578.6848000000002,14,0.06666666666666667,209.5,0.21384615384615394,734.0,1217.0,3130.5
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.98,22.711499999999997,7,0.1,5.25,0.45441176470588235,2706.0,3581.0,3579.0
12 Colored Short Pencils,18.200000000000003,3.016000000000002,8,0.13333333333333333,4.45,0.1657142857142858,3075.0,3738.0,3530.0
12-1/2 Diameter Round Wall Clock,551.4480000000001,91.1088,36,0.27499999999999997,49.14,0.16521739130434782,1933.0,2513.0,1847.0
14-7/8 x 11 Blue Bar Computer Printout Paper,422.752,172.94399999999996,10,0.1,29.32,0.409090909090909,1519.0,2702.0,3427.5
2300 Heavy-Duty Transfer File Systems by Perma,344.724,20.983199999999968,16,0.1,29.14,0.06086956521739122,2736.0,2796.0,2972.0
"24 Capacity Maxi Data Binder Racks, Pearl",3537.2400000000007,536.9024999999997,19,0.1,296.85,0.15178571428571416,784.0,1018.0,2740.5
24-Hour Round Wall Clock,487.51200000000006,180.01980000000003,27,0.06666666666666667,57.25,0.36926229508196723,1497.0,2606.0,2228.0
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,-872.0751999999998,18,0.52,430.09000000000003,-0.29599999999999993,3713.0,1146.0,2818.0
36X48 HARDFLOOR CHAIRMAT,369.248,-40.49140000000003,21,0.2333333333333333,24.68,-0.10965909090909098,3302.0,2765.0,2597.5
